Trailing P/E Ratio,Forward P/E Ratio,Price to Book Ratio,Earnings Per Share Trailing,Earnings Per Share Forward,Return on Equity,Debt to Equity Ratio,Free Cash Flow,Operating Margin,Price to Sales Ratio,Quick Ratio,Interest Coverage Ratio,Enterprise Value,Enterprise Value to EBITDA,PEG Ratio,Total Debt,Total Stockholder Equity,Symbol,Error
37.88797,27.693354,61.051235,Not Available,8.31,1.5741299,209.059,110846001152,0.31171,8.844263,0.745,Not Available,3530225090560,26.216,Not Available,85750000000.0,Not Available,AAPL,
35.457024,28.583687,11.088052,Not Available,14.95,0.35604,33.657,61280874496,0.46583998,12.548828,1.163,Not Available,3208195866624,23.494,Not Available,42688000000.0,Not Available,MSFT,
54.430832,30.964718,78.96216,Not Available,4.12,1.23767,17.221,33725874176,0.62057,35.01841,3.503,Not Available,3553896693760,58.085,Not Available,8459000000.0,Not Available,NVDA,
25.960264,21.876465,7.652364,Not Available,8.96,0.32101002,9.324,41104498688,0.32312,7.0847635,1.761,Not Available,2335294881792,18.914,Not Available,11870000000.0,Not Available,GOOGL,
48.27778,36.496384,9.164063,Not Available,6.15,0.22558,61.175,54328250368,0.109589994,3.8310788,0.827,Not Available,2446245494784,21.923,Not Available,58314000000.0,Not Available,AMZN,
28.904245,24.106733,9.400332,Not Available,25.3,0.36134,29.811,39083376640,0.42765,9.901821,2.568,Not Available,1525077901312,19.254,Not Available,18385000000.0,Not Available,META,
,,,,,,,,,,,,,,,,,BRK/A,"Failed to parse json response from Yahoo Finance: {'code': 'Not Found', 'description': 'HTTP 404 Not Found'}"
,,,,,,,,,,,,,,,,,BRK/B,"Failed to parse json response from Yahoo Finance: {'code': 'Not Found', 'description': 'HTTP 404 Not Found'}"
78.1184,32.149498,45.85908,Not Available,22.66,0.65318,218.081,-1306887552,0.39773998,15.9715805,0.63,Not Available,680444362752,41.074,Not Available,18320800000.0,Not Available,LLY,
34.390244,19.81504,1.3743762,Not Available,8.08,0.28027,24.081,606226546688,0.47487998,0.4137306,2.238,Not Available,4194722381824,2.334,Not Available,918282800000.0,Not Available,TSM,
185.5,31.042088,4.0093884,Not Available,6.17,0.12509,166.032,25984124928,0.31765,23.773724,0.841,Not Available,103630258176,4.514,Not Available,66282000000.0,Not Available,AVGO,
116.21253,130.76765,19.558838,Not Available,3.24,0.20389,18.078,676625024,0.107889995,14.092543,1.214,Not Available,1349004427264,101.858,Not Available,2682000000.0,Not Available,TSLA,
37.991734,33.36636,8.830196,Not Available,2.72,0.18531999,69.566,7701374976,0.04689,1.1106031,0.183,Not Available,736540164096,18.062,Not Available,36132000000.0,Not Available,WMT,
26.856655,2.7791169,2.906908,Not Available,4.07,0.88725996,47.271,46035312640,0.47429,1.3042886,0.742,Not Available,332442501120,2.609,Not Available,15976000000.0,Not Available,NVO,
13.1220255,13.394355,2.2506297,Not Available,16.74,0.16216,Not Available,Not Available,0.43787998,4.471384,Not Available,Not Available,223516295168,Not Available,Not Available,391825000000.0,Not Available,JPM,
32.88774,15.172229,4.9771047,Not Available,29.9,0.15252,74.683,-2398249984,0.08637,1.1909783,0.833,Not Available,550896926720,15.724,Not Available,58263000000.0,Not Available,UNH,
32.882713,25.272038,15.919709,Not Available,12.66,0.50708,53.239,13259249664,0.66122,17.22804,0.837,Not Available,603742142464,24.176,Not Available,20836000000.0,Not Available,V,
13.987547,13.686079,1.8379369,Not Available,7.87,0.14513999,15.394,28811499520,0.13274,1.4358076,0.978,Not Available,517089034240,7.228,Not Available,33645000000.0,Not Available,XOM,
39.371635,22.896704,50.974995,Not Available,7.16,1.55578,749.978,10339500032,0.30517998,8.36931,0.591,Not Available,601787858944,27.601,Not Available,76264000000.0,Not Available,ORCL,
39.689865,32.04318,64.88191,Not Available,16.38,1.7757801,244.839,13575374848,0.59301996,17.688457,0.891,Not Available,488600928256,29.111,Not Available,14344000000.0,Not Available,MA,
27.781034,21.851515,7.433567,Not Available,7.42,0.28766,69.338,13264499712,0.27763999,4.522586,0.507,Not Available,404555857920,16.828,Not Available,25269000000.0,Not Available,PG,
55.547115,47.11213,17.693216,Not Available,19.68,0.30267,42.118,4467500032,0.03817,1.6454161,0.391,Not Available,436734459904,37.904,Not Available,5794000000.0,Not Available,COST,
24.342714,13.852277,5.0449495,Not Available,10.6,0.20889,50.958,19922499584,0.24516001,4.0365853,0.705,Not Available,369446813696,12.294,Not Available,25881000000.0,Not Available,JNJ,
27.773407,26.004236,70.11132,Not Available,15.6,4.04933,1095.368,11943249920,0.13472,2.6304882,0.251,Not Available,467542573056,18.885,Not Available,42743000000.0,Not Available,HD,
59.777004,14.075978,50.266624,Not Available,12.13,0.56407,1174.815,17738999808,0.28928,5.4592857,0.436,Not Available,367247589376,14.329,Not Available,52194000000.0,Not Available,ABBV,
26.020746,21.163218,10.191776,Not Available,2.97,0.3723,167.358,14018875392,0.30235,5.826298,0.784,Not Available,300731957248,20.277,Not Available,35547000000.0,Not Available,KO,
14.495327,10.780341,1.3154844,Not Available,3.66,0.08092,Not Available,Not Available,0.30769,3.7424526,Not Available,Not Available,357865619456,Not Available,Not Available,302204000000.0,Not Available,BAC,
